  91 A90              -5.58856E+03 -4.06465E+04  2.90000E+03
  92 A91              -3.08892E+03 -4.73943E+04  2.90000E+03
  93 A92               1.22017E+03 -2.63791E+04  2.90000E+03
  94 A93               4.81451E+03  1.00886E+04  2.90000E+03
  95 A94               5.58856E+03  4.06465E+04  2.90000E+03
  96 A95               3.08892E+03  4.73943E+04  2.90000E+03
  97 A96              -1.32186E+03  2.85774E+04  2.90000E+03
  98 A97              -5.21571E+03 -1.09293E+04  2.90000E+03
  99 A98              -6.05428E+03 -4.40337E+04  2.90000E+03
 100 A99              -3.34633E+03 -5.13438E+04  2.90000E+03
 101 A100              1.32186E+03 -2.85774E+04  2.90000E+03
 102 A101              5.21571E+03  1.09293E+04  2.90000E+03
 103 A102              6.05428E+03  4.40337E+04  2.90000E+03
 104 A103              3.34633E+03  5.13438E+04  2.90000E+03
 105 A104             -1.42354E+03  3.07756E+04  2.90000E+03
 106 A105             -5.61692E+03 -1.17700E+04  2.90000E+03
 107 A106             -6.51999E+03 -4.74209E+04  2.90000E+03
 108 A107             -3.60374E+03 -5.52933E+04  2.90000E+03
 109 A108              1.42354E+03 -3.07756E+04  2.90000E+03
 110 A109              5.61692E+03  1.17700E+04  2.90000E+03
 111 A110              6.51999E+03  4.74209E+04  2.90000E+03
 112 A111              3.60374E+03  5.52933E+04  2.90000E+03
 113 A112             -1.52522E+03  3.29739E+04  2.90000E+03
 114 A113             -6.01813E+03 -1.26107E+04  2.90000E+03
 115 A114             -6.98571E+03 -5.08082E+04  2.90000E+03
 116 A115             -3.86115E+03 -5.92428E+04  2.90000E+03
 117 A116              1.52522E+03 -3.29739E+04  2.90000E+03
 118 A117              6.01813E+03  1.26107E+04  2.90000E+03
 119 A118              6.98571E+03  5.08082E+04  2.90000E+03
 120 A119              3.86115E+03  5.92428E+04  2.90000E+03
 121 A120             -1.62690E+03  3.51721E+04  2.90000E+03
 122 A121             -6.41934E+03 -1.34515E+04  2.90000E+03
 123 A122             -7.45142E+03 -5.41954E+04  2.90000E+03
 124 A123             -4.11856E+03 -6.31924E+04  2.90000E+03
 125 A124              1.62690E+03 -3.51721E+04  2.90000E+03
 126 A125              6.41934E+03  1.34515E+04  2.90000E+03
 127 A126              7.45142E+03  5.41954E+04  2.90000E+03
 128 A127              4.11856E+03  6.31924E+04  2.90000E+03
 129 A128             -1.72858E+03  3.73704E+04  2.90000E+03
 130 A129             -6.82055E+03 -1.42922E+04  2.90000E+03
 131 A130             -7.91713E+03 -5.75826E+04  2.90000E+03
